"アノテータ連番ID（init,rest全体）",拠点ID,拠点内アノテータID,init100時の連番ID,init100時のクラスタ,rest1046割当,性別,年齢,職業,日本語能力,対話システム研究への関わり
1,AKT,A,1,C1,a,男,20代,学生（学部）,日本語母語話者,対話システム研究グループに所属
2,AKT,B,2,C1,,男,50代,大学教員,日本語母語話者,本人が対話システム研究を行っている
3,DNS,A,3,C1,b,男,30代,会社員,日本語母語話者,対話システム研究グループに所属
4,DNS,B,4,C2,a,男,30代,会社員,日本語母語話者,対話システム研究グループに所属
5,HCU,A,5,C2,b,男,20代,大学教員,日本語母語話者,本人が対話システム研究を行っている
6,HRI,A,6,C2,,男,30代,会社員,日本語母語話者,本人が対話システム研究を行っている
7,HRI,B,7,C2,c,女,40代,会社員,日本語母語話者,対話システム研究グループに所属
8,HRI,C,,,i+k,女,40代,会社員,日本語母語話者,対話システム研究グループに所属
9,KIT,A,8,C2,d,男,20代,学生（大学院）,日本語母語話者,本人が対話システム研究を行っている
10,KIT,B,9,C2,e,男,20代,学生（大学院）,日本語母語話者,本人が対話システム研究を行っている
11,KYO,A,10,C1,c,男,20代,大学教員,日本語母語話者,本人が対話システム研究を行っている
12,KYO,B,,,j,男,40代,大学教員,日本語母語話者,対話システム研究グループに所属
13,NIT,A,11,C1,d,男,30代,大学教員,日本語母語話者,本人が対話システム研究を行っている
14,NST,A,12,C2,,男,20代,学生（大学院）,日本語母語話者,本人が対話システム研究を行っている
15,NST,B,13,C1,e,男,20代,学生（大学院）,日本語母語話者,本人が対話システム研究を行っている
16,NST,C,14,C1,,男,20代,学生（大学院）,日本語母語話者,本人が対話システム研究を行っている
17,NTT,A,15,C2,f,女,30代,その他,日本語母語話者,対話システム研究グループに所属
18,NTT,B,16,C2,g+k,女,30代,会社員,日本語母語話者,対話システム研究グループに所属
19,OSK,A,17,C2,h,男,30代,大学教員,日本語母語話者,本人が対話システム研究を行っている
20,OSK,B,18,C1,f,男,30代,大学教員,日本語母語話者,本人が対話システム研究を行っている
21,TMU,A,19,C2,i,男,20代,学生（大学院）,日本語母語話者,無関係
22,TSB,A,20,C1,g,女,30代,会社員,日本語母語話者,本人が対話システム研究を行っている
23,TUT,A,21,C1,h,男,40代,大学教員,日本語母語話者,本人が対話システム研究を行っている
24,TUT,B,22,C2,,男,20代,学生（学部）,日本語母語話者,本人が対話システム研究を行っている
25,YAH,A,23,C2,j,男,20代,会社員,日本語母語話者,対話システム研究グループに所属
26,YAH,B,,,j,女,30代,会社員,日本語母語話者,対話システム研究グループに所属
27,YMG,A,24,C1,i,男,20代,学生（学部）,日本語母語話者,本人が対話システム研究を行っている
